Country Name,Country Code,Indicator Name,Indicator Code,Attribute,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Portugal,182,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.47247452,27.27115573,23.16320682,28.29882159,26.91848078,26.04984185,28.80660713,28.16816987,29.42718025,32.49476661,33.51466234,32.88729471,33.38822246,35.95264183,38.55391714,40.14029318,40.68028208,46.29244247,48.86334737,50.26726392,59.47315098,55.94891411,52.69812798,55.10165622,53.43016738,54.81987186,56.14645471,59.68892663,61.57225161,62.60969663,59.5258933,60.2241318,61.82614998,58.84571769,63.13493035,60.60701327,60.27805664,58.2045515,58.5010088,60.21784008,65.00381416,63.13676502,65.7651868,61.67672604,58.18936171,57.8638859,64.11592389,62.1857472,56.27302855,58.99160965,63.21408617,61.93803339,51.97489922,52.40267276,55.16898026,54.93877421,51.86463361,50.66085161,49.98557391,52.67718634,52.41193358,50.19730488,49.19286549,51.94630897,55.71290959,52.71845819,55.81756779,51.7650222,47.28055893,45.04078174,66.85053801,59.04669675,67.73450887,60.00253636,56.50131285,56.68390458,55.21016316,47.45247034,42.53389518,42.92425765,45.17037764,45.75327857,33.62411283,31.81894652,31.21232905,30.48660842,29.37631513,28.13520606,27.63905311,23.64115816,20.60620568,21.85952331,21.84050751,24.16303453,24.59609789,22.32270198,19.84769133,19.403087,19.09348482,18.75448214,17.37574619,17.16274481,17.05105319,16.84723075,16.15210931,15.15390176,14.29542304,16.8944477,16.50041466,16.44024133,17.13724017,18.72382531,20.82258902,21.93169189,20.38096155,20.24715141,18.48684531,17.17268286,16.81112004,16.4672133,15.72483088,14.50653165,13.58296367,13.50382514,19.16675013,24.52593821,26.87566078,29.89132662,33.51854133,29.55192545,37.41166685,40.91721801,44.44516679,48.79458625,56.53308106,56.89171381,54.46159106,54.0748256,52.69018901,53.32176497,55.6933032,50.02287019,54.62645258,57.39302932,59.09653334,58.20750618,54.34130301,50.27247648,49.43225008,48.35860216,51.06803515,53.67992413,55.70016046,57.4594654,62.532946,61.61880043,68.43908259,71.66633322,83.60940109,96.18331854,111.3896788,126.2098901,129.0008442,130.1653949,128.9768223
Qatar,453,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.71812481,17.64527458,16.622952,37.53320537,44.1658682,42.32429951,49.54610626,48.02189476,63.36679346,74.39909113,52.54296322,59.08707644,47.59230464,39.08775271,29.03493005,19.17106193,13.43080082,8.927507651,11.09573381,35.97230284,41.84225985,35.56881209,36.5630945,32.59924027,31.67633805,39.76004352
Romania,968,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02666,2.69522,11.0975,11.6796,14.4377,18.6408,20.9683,23.7352,23.2511,25.1578,23.7217,27.19239532,27.31835157,24.02351366,20.98114715,17.54501378,12.5363288,12.65164388,13.38707337,23.34755666,30.5353383,33.87431401,37.63048458,38.826068,40.49540922,39.30412525
Russia,922,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.65542475,87.14527027,78.46750727,73.19165787,77.75981185,74.95588235,80.59020383,75.71447561,74.20042644,78.16909759,85.63106796,78.94736842,69.13432185,59.80791618,55.76457941,56.65936873,56.4618086,52.40574223,55.52208835,53.30818559,62.21534555,68.00693787,64.7735709,58.76377639,56.03843769,52.48779354,52.82774076,45.18696118,48.79107865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,92.4,63.5,53.7,51.9,54.7,73.1,88.7,55.71228374,44.3139426,37.47214505,28.25499584,20.76967838,14.8091202,9.77649768,8.0102455,7.425428915,9.890470949,10.55978391,10.91324515,11.76104078,13.07551604,15.893951,16.42303194
Rwanda,714,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45295,6.36802,8.68999,10.0614,9.58759,8.51935,10.0664,11.2767,13.2605,12.4258,12.8327,12.3916,14.2068,16.1124,18.5527,20.2825,23.1158,28.9559,30.0141,28.5349,36.72,49.8284,52.029,56.2752,99.2985,119.5118088,98.98306121,85.67416781,83.1503614,92.95715511,102.5124509,98.6459145,107.9006325,100.6167231,90.80551817,70.6652814,26.57730359,26.70937217,20.90387245,22.36612699,22.55651928,23.06118263,21.46111935,28.68438239,31.12691493,37.29389423
Samoa,862,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.66345,7.77326,14.0736,21.1479,24.3767,27.9511,36.2327,46.2051,53.2621,58.737,67.034,87.7751,76.1212,73.6848,75.6763,77.5206,72.0433,72.779,65.3892,64.2837,62.985,79.6397,75.3192,87.2916,121.735,84.6827,76.7757,,72.8136,77.2354,65.52784794,62.38287137,58.16520124,50.05212958,47.45545872,40.02463883,39.33916755,36.09252137,28.90590008,35.89891574,49.86716359,49.14736965,52.06186014,53.53930351,54.40364677,57.78012663
San Marino,135,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.49807027,13.55336828,13.2774373,11.43867986,13.53286347,17.45748162,17.53793559,14.65734818,15.36794259,20.83076365,19.03142456,19.88100306
São Tomé and Príncipe,716,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.024,176.022,252.014,345.013,385.582,376.038,388.401,356.0512501,317.1126703,336.5486956,284.2534217,256.7636798,101.3636825,56.85535099,68.02652319,75.25967866,71.73860404,78.29427361,71.42029136,68.88461335,82.26410977
Saudi Arabia,456,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8888009,56.83842653,69.5476566,77.765,83.88803008,75.64443722,77.15495337,102.2103125,102.9917876,86.7017724,93.1477989,96.35169677,81.56423111,62.92820228,37.34243593,25.83084114,17.11543057,12.05599459,13.98903765,8.448310577,5.397007967,3.589681189,2.154499141,1.567104952,5.00720987
Senegal,722,Debt to GDP Ratio,GGXWDG_GDP,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0071,18.6993,17.5901,19.449,23.4046,18.4478,23.3935,27.2672,33.331,33.8806,38.6251,47.4479,58.4989,72.8742,75.849,82.3539,74.9064,78.1446,78.514,66.5942,63.1014,63.9288,61.7062,65.8274,94.4176,80.402,77.2426,84.0358,83.2941,77.4764,,70.93053308,67.97537118,54.70063383,47.59079653,45.66403857,21.83818708,23.48516228,23.93651648,34.15899737,35.51522336,40.68956527,42.81612952,46.93520019,54.24476466,56.82911607
